Item ID,Name,Description,Tag 1,Tag 2,Tag 3
0x00001,Acceptance,"a person's assent to the reality of a situation, recognizing a process or condition (often a negative or uncomfortable situation) without attempting to change it or protest it.",Emotion,,
0x00002,Affection,a gentle feeling of fondness or liking.,Emotion,,
0x00003,Amusement,the state or experience of finding something funny.,Emotion,,
0x00004,Anger,"a strong feeling of annoyance, displeasure, or hostility.",Emotion,,
0x00005,Angst,"a feeling of deep anxiety or dread, typically an unfocused one about the human condition or the state of the world in general.",Emotion,,
0x00006,Anguish,severe mental or physical pain or suffering.,Emotion,,
0x00007,Annoyance,the feeling or state of being annoyed; irritation.,Emotion,,
0x00008,Anticipation,the action of anticipating something; expectation or prediction.,Emotion,,
0x00009,Anxiety,"a feeling of worry, nervousness, or unease, typically about an imminent event or something with an uncertain outcome.",Emotion,,
0x0000a,Apathy,"lack of interest, enthusiasm, or concern.",Emotion,,
0x0000b,Awe,a feeling of reverential respect mixed with fear or wonder.,Emotion,,
0x0000c,Boredom,feeling weary because one is unoccupied or lacks interest in one's current activity.,Emotion,,
0x0000d,Confidence,the feeling or belief that one can rely on someone or something; firm trust.,Emotion,,
0x0000e,Contempt,"the feeling that a person or a thing is beneath consideration, worthless, or deserving scorn.",Emotion,,
0x0000f,Contentment,a state of happiness and satisfaction.,Emotion,,
0x00010,Courage,the ability to do something that frightens one.,Emotion,,
0x00011,Curiosity,a strong desire to know or learn something.,Emotion,,
0x00012,Depression,feelings of severe despondency and dejection.,Emotion,,
0x00013,Desire,a strong feeling of wanting to have something or wishing for something to happen.,Emotion,,
0x00014,Despair,the complete loss or absence of hope.,Emotion,,
0x00015,Disappointment,sadness or displeasure caused by the nonfulfillment of one's hopes or expectations.,Emotion,,
0x00016,Disgust,a feeling of revulsion or strong disapproval aroused by something unpleasant or offensive.,Emotion,,
0x00017,Distrust,the feeling that someone or something cannot be relied upon.,Emotion,,
0x00018,Ecstasy,an overwhelming feeling of great happiness or joyful excitement.,Emotion,,
0x00019,Embarrassment,"a feeling of self-consciousness, shame, or awkwardness.",Emotion,,
0x0001a,Empathy,the ability to understand and share the feelings of another.,Emotion,,
0x0001b,Enthusiasm,"intense and eager enjoyment, interest, or approval.",Emotion,,
0x0001c,Envy,"a feeling of discontented or resentful longing aroused by someone else's possessions, qualities, or luck.",Emotion,,
0x0001d,Euphoria,a feeling or state of intense excitement and happiness.,Emotion,,
0x0001e,Fear,"an unpleasant emotion caused by the belief that someone or something is dangerous, likely to cause pain, or a threat.",Emotion,,
0x0001f,Frustration,"the feeling of being upset or annoyed, especially because of inability to change or achieve something.",Emotion,,
0x00020,Gratification,"pleasure, especially when gained from the satisfaction of a desire.",Emotion,,
0x00021,Gratitude,the quality of being thankful; readiness to show appreciation for and to return kindness.,Emotion,,
0x00022,Greed,"intense and selfish desire for something, especially wealth, power, or food.",Emotion,,
0x00023,Grief,"deep sorrow, especially that caused by someone's death.",Emotion,,
0x00024,Guilt,the fact of having committed a specified or implied offense or crime.,Emotion,,
0x00025,Happiness,the state of being happy.,Emotion,,
0x00026,Hatred,intense dislike or ill will.,Emotion,,
0x00027,Hope,a feeling of expectation and desire for a certain thing to happen.,Emotion,,
0x00028,Horror,"an intense feeling of fear, shock, or disgust.",Emotion,,
0x00029,Hostility,hostile behavior; unfriendliness or opposition.,Emotion,,
0x0002a,Humiliation,the action of humiliating someone or the state of being humiliated.,Emotion,,
0x0002b,Interest,the state of wanting to know or learn about something or someone.,Emotion,,
0x0002c,Jealousy,feeling or showing envy of someone or their achievements and advantages.,Emotion,,
0x0002d,Joy,a feeling of great pleasure and happiness.,Emotion,,
0x0002e,Kindness,"the quality of being friendly, generous, and considerate.",Emotion,,
0x0002f,Loneliness,sadness because one has no friends or company.,Emotion,,
0x00030,Love,an intense feeling of deep affection.,Emotion,,
0x00031,Lust,very strong sexual desire.,Emotion,,
0x00032,Nostalgia,"a sentimental longing or wistful affection for the past, typically for a period or place with happy personal associations.",Emotion,,
0x00033,Outrage,"an extremely strong reaction of anger, shock, or indignation.",Emotion,,
0x00034,Panic,"sudden uncontrollable fear or anxiety, often causing wildly unthinking behavior.",Emotion,,
0x00035,Passion,an intense desire or enthusiasm for something.,Emotion,,
0x00036,Pity,the feeling of sorrow and compassion caused by the suffering and misfortunes of others.,Emotion,,
0x00037,Pleasure,a feeling of happy satisfaction and enjoyment.,Emotion,,
0x00038,Pride,"a feeling or deep pleasure or satisfaction derived from one's own achievements, the achievements of those with whom one is closely associated, or from qualities or possessions that are widely admired.",Emotion,,
0x00039,Rage,"violent, uncontrollable anger.",Emotion,,
0x0003a,Regret,"feel sad, repentant, or disappointed over (something that has happened or been done, especially a loss or missed opportunity).",Emotion,,
0x0003b,Rejection,"the dismissing or refusing of a proposal, idea, etc.",Emotion,,
0x0003c,Remorse,deep regret or guilt for a wrong committed.,Emotion,,
0x0003d,Resentment,bitter indignation at having been treated unfairly.,Emotion,,
0x0003e,Sadness,feeling or showing sorrow; unhappy.,Emotion,,
0x0003f,Self-confidence,"a feeling of trust in one's abilities, qualities, and judgment.",Emotion,,
0x00040,Self-pity,"excessive, self-absorbed unhappiness over one's own troubles.",Emotion,,
0x00041,Shame,a painful feeling of humiliation or distress caused by the consciousness of wrong or foolish behavior.,Emotion,,
0x00042,Shock,a sudden upsetting or surprising event or experience.,Emotion,,
0x00043,Shyness,being reserved or having or showing nervousness or timidity in the company of other people.,Emotion,,
0x00044,Social connection,the experience of feeling close and connected to others.,Emotion,,
0x00045,Sorrow,"a feeling of deep distress caused by loss, disappointment, or other misfortune suffered by oneself or others.",Emotion,,
0x00046,Suffering,"the state of undergoing pain, distress, or hardship.",Emotion,,
0x00047,Surprise,"an unexpected or astonishing event, fact, or thing.",Emotion,,
0x00048,Trust,"firm belief in the reliability, truth, ability, or strength of someone or something.",Emotion,,
0x00049,Wonder,"a feeling of surprise mingled with admiration, caused by something beautiful, unexpected, unfamiliar, or inexplicable.",Emotion,,
0x0004a,Worry,give way to anxiety or unease; allow one's mind to dwell on difficulty or troubles.,Emotion,,
