Item ID,Name,Description,Tag 1,Tag 2,Tag 3
0x01001,Phoenix Wright: Ace Attorney,The first Phoenix Wright game,,,
0x01002,Phoenix Wright Case 1-1,"Episode 1: The First Turnabout is the first episode of the game Phoenix Wright: Ace Attorney. In Phoenix Wright's first trial as a defense attorney he must defend his childhood friend Larry Butz, who has been accused of murdering his ex-girlfriend Cindy Stone.",,,
0x01003,Phoenix Wright Case 1-2,"Episode 2: Turnabout Sisters is the second case in Phoenix Wright: Ace Attorney. With his mentor Mia Fey murdered, it is up to Phoenix Wright to clear the name of the prime suspect: Mia's little sister Maya. However, in order to do this, Wright must defeat the undefeated ""Demon Attorney"", Miles Edgeworth.",,,
0x01004,Phoenix Wright Case 1-3,Episode 3: Turnabout Samurai is the third episode of Phoenix Wright: Ace Attorney. It revolves around a murder that occurs during a production of the fictional television show The Steel Samurai: Warrior of Neo Olde Tokyo.,,,
0x01005,Phoenix Wright Case 1-4,"Episode 4: Turnabout Goodbyes is the fourth episode of Phoenix Wright: Ace Attorney. In this episode, Phoenix's rival in the courtroom, Miles Edgeworth, is arrested for the murder of a former defense attorney. Phoenix takes to his defense, and the veteran prosecutor opposing him is Manfred von Karma, Edgeworth's mentor. In resolving the case, Phoenix reveals a connection to the unsolved DL-6 Incident from fifteen years prior - a case that greatly impacted Miles due to the victim's identity.",,,
0x01006,Phoenix Wright Case 1-5,"Episode 5: Rise from the Ashes is the final episode of Phoenix Wright: Ace Attorney. Set two months after Turnabout Goodbyes, Phoenix Wright is brought out of a self-imposed break to investigate a case involving a friend of his mentor from law school, who has already confessed to murder.",,,
0x01007,Phoenix Wright: Justice for All,The second Phoenix Wright game,,,
0x01008,Phoenix Wright Case 2-1,"Episode 1: The Lost Turnabout is the introductory and tutorial episode of Phoenix Wright: Ace Attorney: Justice For All. In this episode, an amnesiac Phoenix Wright must defend unlucky police officer Maggey Byrde, accused of murdering her lover and fellow policeman, Dustin Prince, while dealing with a highly egotistical witness.",,,
0x01009,Phoenix Wright Case 2-2,"Reunion, and Turnabout*: Maya Fey is once again accused of murder, with the victim this time being a doctor who was with her in a sealed room in her home village while attempting to channel a former colleague of his. Wright again defends her, only to face Franziska von Karma, the whip-wielding daughter of Manfred von Karma, at the prosecutor's bench. While investigating Kurain Village, Wright learns more about the family of his assistant and meets Maya's little cousin Pearl Fey for the first time.",,,
0x0100a,Phoenix Wright Case 2-3,"Turnabout Big Top: Wright defends Max Galactica, a flamboyant magician accused of murdering the ringmaster of the circus where he works.",,,
